month,closeLogDiff,G0000027_exp,logDiff(G1140672)_9,diff(G0900608)_9_abs,diff(G1139851)_12_abs,G1122135,logDiff(G1502569)_6_abs
2001-01,-0.04957926186654461,40.4473043600674,-0.1028302413998583,0.20000000000000018,0.17668831200000001,452,0.0025707956354708017
2001-02,-0.05160593661476662,33.11545195869231,-0.10644688187004725,1.0999999999999996,0.09780952399999998,453,0.013354235724857944
2001-03,-0.06235002698771605,18.17414536944306,-0.11371964119912636,1.8000000000000007,0.02913043500000001,458,0.020285613540461434
2001-04,-0.03593521131242569,27.112638920657883,-0.11737595240223708,1.7000000000000002,0.02650000000000008,458,0.02712161603332941
2001-05,0.0310010900432615,36.59823444367799,-0.106814004285809,2.3,0.17130434799999994,459,0.02745179709721146
2001-06,0.06656951627399577,24.532530197109352,-0.09662683568907227,3.1999999999999997,0.22681818200000003,461,0.039724041308239144
2001-07,0.050231135547856604,14.879731724872837,-0.07894320234011953,4.4,0.21372294399999991,462,0.032681896920292886
2001-08,-0.015589801161800088,14.879731724872837,-0.04460430623675382,4.6,0.20086956499999997,461,0.028061610881174204
2001-09,-0.023562938011735174,13.463738035001692,-0.006872879287762146,4.4,0.08621212200000006,461,0.031758279015217106
2001-10,-0.02580076819922729,8.16616991256765,0.06634194813672156,4.5,0.09213438699999998,456,0.027518464500270845
2001-11,-0.020117997223143544,6.6858944422792685,0.09991091089026227,4.9,0.19954545499999998,453,0.02486513080955799
2001-12,-0.016462851637003617,4.953032424395115,0.14261410719884182,4.3999999999999995,0.30809523799999994,450,0.003984518296483941
2002-01,0.004245134242951171,3.0041660239464334,0.13992119072329334,4.3999999999999995,0.255,454,0.04544486232199141
2002-02,0.05305333387069254,3.0041660239464334,0.17624251071757246,4.1000000000000005,0.14600000000000002,452,0.051707802165506855
2002-03,0.08775045700787196,4.4816890703380645,0.21148161156636736,3.6999999999999997,0.14494824000000006,447,0.05839959679404849
2002-04,0.11266099367886095,4.953032424395115,0.2029408439966902,2.8,0.08195454499999999,444,0.05903603705928262
2002-05,0.0633394167798305,3.3201169227365472,0.211141995329446,2.5,0.010434783000000003,439,0.05239511093327387
2002-06,0.024289288323179486,3.0041660239464334,0.22176328884525187,1.9,0.07727272699999999,434,0.031167989446322153
2002-07,-0.010725168352326139,4.4816890703380645,0.23121896531975583,0.2,0.19747035599999996,427,0.02051313982182279
2002-08,0.023925761958051874,6.0496474644129465,0.22510883199916343,0.6,0.26652173899999987,428,0.02272026529225446
2002-09,0.04073137542484187,4.4816890703380645,0.21551962620354992,0.6,0.18333333400000007,426,0.02295552692110281
2002-10,0.08005317878916537,7.38905609893065,0.23454329477893765,1.4000000000000001,0.33739130400000006,427,0.030754970524036196
2002-11,0.07355293618698351,9.025013499434122,0.22070154765865801,1.7000000000000002,0.20909090899999994,427,0.032310502943482255
2002-12,0.055410420676238914,11.023176380641601,0.2131228367524951,2.0,0.267619048,428,0.035211424382461054
2003-01,0.021924629214612627,13.463738035001692,0.2535794349117584,2.5,0.255,425,0.029664481212164695
2003-02,0.0712421098426357,20.085536923187668,0.2588616339162897,3.1,0.15649999999999997,426,0.038243406490853005
2003-03,0.0781031651255991,20.085536923187668,0.2568240840918756,3.2,0.13857142899999997,419,0.040480371437984886
2003-04,0.045362806475594056,9.025013499434122,0.24173638439082534,1.8,0.010497835999999983,415,0.03589072240561819
2003-05,-0.03739253991209647,8.16616991256765,0.23872828233090804,1.2,0.01739130500000008,418,0.03488769157307381
2003-06,-0.03629303900015768,8.16616991256765,0.23127367739746063,1.0999999999999999,0.05190476199999994,420,0.03017819356071172
2003-07,0.027816957302764983,8.16616991256765,0.2366538894125485,0.0,0.26,418,0.02859131701959594
2003-08,0.049110405335114085,9.025013499434122,0.22656068912796723,0.19999999999999996,0.29731225299999986,417,0.026468791087945753
2003-09,0.08993709704592995,9.974182454814718,0.21266227384662706,0.3999999999999999,0.366212122,416,0.016921621216939187
2003-10,0.07477452741327265,7.38905609893065,0.18533360726394665,1.3000000000000003,0.566956522,421,0.014395045983442323
2003-11,0.07615874252033633,6.0496474644129465,0.16722276139461112,1.2000000000000002,0.41679653699999997,423,0.012928710009270539
2003-12,-0.003877825213004893,6.6858944422792685,0.15231749874559686,1.5,0.375346321,426,0.0028960344596526966
2004-01,-0.04939241178253212,6.6858944422792685,0.16996482410504932,1.1,0.35636363699999996,425,0.009062958535062116
2004-02,-0.05087722338246006,5.4739473917272,0.16499010044231444,1.0,0.30735714299999994,424,0.006347395806090894
2004-03,-0.010039967750272855,5.4739473917272,0.15703835148445489,0.7999999999999999,0.259710145,433,0.014208165161983644
2004-04,0.022254871392105996,9.974182454814718,0.13029554661500065,0.7,0.24142857100000004,436,0.013045700171511854
2004-05,0.014461571633944986,22.197951281441636,0.12619460256066883,1.5,0.21051759799999992,441,0.009337806680588479
2004-06,0.00685711003374298,27.112638920657883,0.13257307918271088,1.9000000000000001,0.18173160200000005,439,0.00892477494353816
2004-07,0.019097566818834733,20.085536923187668,0.16748776735879645,2.8000000000000003,0.11956521699999989,444,0.008981558490722463
2004-08,0.064696794886452,14.879731724872837,0.1733138860116723,2.3,0.10954545500000001,446,0.008305933473318206
2004-09,0.09271246442564421,12.182493960703473,0.17310490168903048,2.8,0.10409090900000006,451,0.008982736667798363
2004-10,0.047548577392932834,24.532530197109352,0.13906666636121034,4.2,0.06648221300000001,444,0.008840151673998875
2004-11,0.0011464451066039438,33.11545195869231,0.12011132541597469,4.0,0.028203462999999984,449,0.009251418104895492
