month,closeLogDiff,diff(G1121846)_9,diff(G1000037)_12_abs,logDiff(G0900698)_6_abs,logDiff(G0900696)_12,logDiff(G1122295)_12_abs,logDiff(G1000001)_2_abs
2001-01,-0.03227007594206317,-1.0,37.0,0.31508104663989545,-1.69938614909704,0.33818676768845357,0.052031985505205824
2001-02,-0.030917698386907916,45.0,780.5,0.3703737882968945,-1.5910887737659039,0.2006706954621511,0.039350248291732726
2001-03,-0.03799742415234014,125.0,1745.0,0.2170645052378275,-1.5804503755608479,0.7635696448564913,0.00024958430851462765
2001-04,-0.04504084106323461,-62.0,124.25,0.11441035117774434,-1.8545603704670852,0.9802040576178079,0.0012464372178833116
2001-05,-0.01524697308456699,40.0,1462.0,0.0,-0.9808292530117264,1.238078416812447,0.0009989606241322946
2001-06,0.05535369287863741,20.0,1950.3999999999996,0.1690763300439342,-0.49247648509779407,1.483749697270604,0.016804923554383677
2001-07,0.05746388652318685,-11.0,6911.75,0.5108256237659907,-0.664976303593249,1.5943717140794562,0.08116607907367168
2001-08,0.003983072420028114,103.0,4869.25,0.4168938039317873,-0.6931471805599454,1.4797088057593162,0.06320505699093282
2001-09,-0.026805624557158444,123.0,2278.1000000000004,0.5108256237659907,-0.08269171584511326,1.4007723803005439,0.0018677887915181657
2001-10,-0.01633018703640493,59.0,4986.0,0.528844129268669,-0.08855339734144496,1.418277406972941,0.0007545793500405296
2001-11,-0.006227894617399088,24.0,8437.55,0.48342664957787607,0.14571181118139376,1.5395517849699338,5.8485574550459773e-05
2001-12,-0.023360683768566814,88.0,9816.15,0.33647223662121273,0.0,1.644632160555893,0.0028425749111740117
2002-01,-0.006992270474181259,137.0,9801.75,0.4274440148269396,1.4572460970921752,1.837850576428322,0.011229993251275161
2002-02,0.018135236848695627,61.0,7276.5,0.3901976359773758,1.128465251817791,2.197224577336219,0.008403014827774058
2002-03,0.04615550173912934,82.0,9069.4,0.16705408466316607,1.1749852674526837,1.7621589994517641,0.020379094154748145
2002-04,0.07651305229073953,187.0,7731.25,0.14903557916048782,1.3581234841531942,1.4481697648379779,0.09710379561628457
2002-05,0.07774289665686404,10.0,5532.549999999999,0.1251631429540061,0.7375989431307792,0.8960880245566356,0.0748988226935765
2002-06,0.02174446151108789,-8.0,3589.7000000000007,0.061557892999433594,0.5465437063680696,1.5483502204542623,0.022429713976007903
2002-07,-0.011858653064941936,-50.0,896.75,0.05971923470162244,0.760286483397574,0.9839493803479697,0.08334632235839656
2002-08,0.003678311524707392,-5.0,2802.2000000000007,0.030305349495329148,0.8353216693404881,0.8171998292299243,0.06274248715034858
2002-09,0.02138093514596028,-106.0,3238.0,0.0,0.3583975972501787,1.0986122886681098,7.792865631017776e-06
2002-10,0.03959789071222607,-26.0,307.25,0.04512043528046972,0.44183275227903906,0.4004775665971254,0.02221427346575844
2002-11,0.059805728355820896,-66.0,1976.7999999999993,0.04317217186520872,0.4763394476948215,0.6931471805599452,0.021713574235795008
2002-12,0.054202495908101916,-18.0,1089.5,0.030305349495329148,0.5212969236332861,0.17733401528291526,0.0017239739571230928
2003-01,0.014955132599299613,-152.0,4236.799999999999,0.0,0.18687737332981547,0.8171998292299243,0.0034557441393694432
2003-02,0.008177421383450012,-124.0,5787.0,0.085766821757425,0.36545977349446535,0.5158131652770299,0.0038419403422444987
2003-03,0.0700341850744987,-14.0,5968.549999999999,0.1950605825713847,0.5166907432183887,0.4054651081081644,0.002853637409844012
2003-04,0.07113366851028609,-11.0,5982.5,0.17494144949633217,0.4336359850748608,0.12014431184206309,0.06215359475566018
2003-05,-0.017701881983591627,-72.0,4580.0,0.21465693743689118,0.5280674302004966,0.4382549309311554,0.06372829444149453
2003-06,-0.045461519963196875,75.0,3776.0,0.25642952894767657,0.3787968610260033,1.0861897686695523,0.003022149740157687
2003-07,-0.010522176965465646,-78.0,2387.25,0.29152084875894646,0.39239302654081154,0.5158131652770299,0.018962329876217154
2003-08,0.047507615231269826,-25.0,2723.4000000000015,0.18687737332981547,0.3769499378001431,0.4117347211217597,0.019283344095514465
2003-09,0.03994192437207489,-36.0,2112.0,0.037271394797231405,0.2816397579958183,0.9839493803479697,0.0017018476240835412
2003-10,0.05159796277769932,-37.0,1676.3500000000004,0.0,0.3313571359544425,0.46813621507093983,0.08701679771619375
2003-11,0.07317173730942839,151.0,3010.25,0.12062798778861472,0.13747099062860269,0.8437200390393198,0.08638949432166321
2003-12,0.02616356984648127,-30.0,7980.25,0.11332868530700324,0.05077232537342313,0.2908021997880246,0.004220299600758537
2004-01,-0.02705438984857822,-6.0,4876.200000000001,0.13517477836825265,0.29334780998745824,0.1028573854397079,0.0017668356974525068
2004-02,-0.052379416993440064,46.0,3126.25,0.22884157242884773,0.15123096972392336,0.8704811958428607,0.0006350637915311097
2004-03,-0.0208358283229739,-7.0,5727.0,0.2323319773686161,-0.03571808260207909,0.7960045659996533,9.590053963393075e-06
2004-04,0.012298054183681045,50.0,5378.700000000001,0.2835752904991278,-0.018692133012152556,1.454658103929281,0.046365690892956835
2004-05,0.020752677781125994,52.0,4097.549999999999,0.34937564145712097,-0.18746295629437348,1.000789995574264,0.04433859298801224
2004-06,0.0036657110612439425,77.0,5494.75,0.3101549283038394,-0.19867069479548416,1.5763980583559003,0.0028661327496557476
2004-07,-0.0030997071746819704,90.0,5562.549999999999,0.25319589638061135,-0.13102826240640386,1.8187549735700663,0.06714768195463172
2004-08,0.02538867296601574,-44.0,5589.299999999999,0.2595111954850844,-0.2959808752664759,1.6747573785547432,0.06648046765068294
