month,closeLogDiff,diff(G1000037)_9_abs,diff(G0008003)_12_abs,diff(G0000029)_12,logDiff(G0001596)_12,P9918147_exp,diff(G1400003)_12_exp
2001-01,-0.0855144731789703,544.25,0.5999999999999999,0.6000000000000001,-0.2844508390026803,20.085536923187668,0.48581547564239497
2001-02,-0.020604846571505117,1271.25,0.4999999999999999,0.5,0.01220175999757167,16.444646771097048,0.5042342759317756
2001-03,0.004219489286279715,1225.0,0.3999999999999999,0.30000000000000027,-0.23269488133268545,16.444646771097048,0.5504300837017267
2001-04,0.014295924235430912,1353.25,0.5,0.30000000000000027,-0.37128746830574855,22.197951281441636,0.71730692474824
2001-05,0.015411288881461413,2390.5,0.7,0.10000000000000009,-0.25858966546558726,24.532530197109352,0.7428413916262879
2001-06,0.04300657826226059,3689.3999999999996,0.7,0.20000000000000018,-0.45672045845004483,20.085536923187668,0.8413852589021736
2001-07,0.024430367348629314,5647.75,0.6000000000000001,0.20000000000000018,-0.22708016812274678,13.463738035001692,0.7813165545195928
2001-08,-0.03570779838494363,4448.75,0.7,0.10000000000000009,-0.2596458782770039,14.879731724872837,0.6653837717905214
2001-09,-0.04002578964873879,1595.8999999999996,0.7,0.0,-0.2507607117852757,16.444646771097048,0.6203027466668449
2001-10,-0.02155563395627612,5565.25,0.7,0.10000000000000009,-0.27874024521081786,2.718281828459045,0.5297051316646787
2001-11,0.032935336647548996,6276.799999999999,0.6000000000000001,0.19999999999999973,0.043825531422948316,1.4918246976412703,0.4911974512877556
2001-12,0.07128760537086834,9984.35,0.5,0.10000000000000009,0.23605078749281994,6.0496474644129465,0.8385076461247681
2002-01,0.11690612792181213,9133.25,0.6000000000000001,0.0,0.12651714315524032,6.6858944422792685,0.9864561903924844
2002-02,0.11639275065052304,7467.25,0.6000000000000001,-0.10000000000000009,0.12293638894346337,8.16616991256765,1.0650268392313071
2002-03,0.11203974533105145,5894.0,0.6000000000000001,-0.30000000000000027,0.10826477816776325,14.879731724872837,1.499711456502854
2002-04,0.1019358253265348,2172.75,0.3999999999999999,-0.10000000000000009,0.0817432380753047,16.444646771097048,1.273609043207887
2002-05,0.08726517873788238,3053.7999999999993,0.10000000000000009,0.0,0.007444541767547719,14.879731724872837,1.0505659346280092
2002-06,0.06502066374802136,5001.0,0.19999999999999996,-0.40000000000000036,0.03982139558135067,14.879731724872837,0.962735862900768
2002-07,0.06932801043683924,1558.5,0.30000000000000004,-0.5,-0.1331226357223212,13.463738035001692,0.8211451931909871
2002-08,0.09747869814503539,1186.5999999999985,0.3999999999999999,-0.30000000000000027,-0.013402636829837888,13.463738035001692,0.7558883037511759
2002-09,0.09614179610108078,4982.25,0.6000000000000001,-0.3999999999999999,-0.03979140082660315,12.182493960703473,0.6193287506907804
2002-10,0.10197780800377801,3929.25,0.6000000000000001,-0.3999999999999999,0.03887245270283124,12.182493960703473,0.8462364034244603
2002-11,0.1447950460296192,2976.5,0.7,-0.7999999999999998,-0.08385621839992652,11.023176380641601,0.9602655150868852
2002-12,0.13351358580183803,174.54999999999927,0.5999999999999999,-0.8000000000000003,-0.18918820749306953,12.182493960703473,0.6168270103043124
2003-01,0.06728743569020668,2834.7999999999993,0.7,-0.7000000000000002,-0.002201358275481624,12.182493960703473,0.4952328253626944
2003-02,0.033849569930539225,3852.2999999999993,0.8,-0.9000000000000001,-0.019408710438138854,14.879731724872837,0.374561226775729
2003-03,0.041810126125441424,3664.25,0.8,-0.7,-0.01227721826007766,22.197951281441636,0.3182542262734471
2003-04,0.07317976377835904,4706.5,0.7999999999999998,-1.0,-0.08883269324287646,11.023176380641601,0.3600801723231266
2003-05,0.011717865423017615,4328.4000000000015,0.7,-0.8999999999999999,0.1032199538195826,7.38905609893065,0.25629438047484854
2003-06,0.05364405804577227,2013.0,0.5,-0.7999999999999998,0.07637901109222156,8.16616991256765,0.2419155291962468
2003-07,0.10259148471603763,1136.0,0.3999999999999999,-0.7000000000000002,0.07272837073670857,5.4739473917272,0.38791985431508474
2003-08,0.1252691478554504,1933.2000000000007,0.3999999999999999,-1.0999999999999999,0.05536218543563187,12.182493960703473,0.600300644362165
2003-09,0.08605927183292506,6004.75,0.2999999999999998,-1.0000000000000002,0.1127975029666981,16.444646771097048,0.7926441061237783
2003-10,0.025382115630740526,1368.800000000001,0.2999999999999998,-0.9000000000000001,0.1381729120102868,13.463738035001692,0.7637114706283553
2003-11,0.025281519137876268,199.75,0.19999999999999996,-0.8999999999999999,0.0720810794920208,14.879731724872837,0.8820557644270332
2003-12,-0.013917792963277748,2186.25,0.19999999999999996,-0.7999999999999998,0.008682980182799227,13.463738035001692,0.953496954833476
2004-01,-0.027137540390426124,1728.5,0.19999999999999996,-0.7999999999999998,0.012555635176171975,14.879731724872837,0.9743393075187002
2004-02,-0.03641565174851508,2398.5499999999993,0.19999999999999996,-0.5,0.02493990897635001,13.463738035001692,1.1405379077223703
2004-03,-0.0031828577165298744,5615.25,0.19999999999999996,-0.09999999999999987,-0.004487349381609107,18.17414536944306,0.8851410381117084
2004-04,0.04135243821094073,7697.950000000001,0.0,0.30000000000000004,0.24489588695037412,24.532530197109352,0.9621629763583784
2004-05,0.07915836652039698,5702.549999999999,0.09999999999999987,0.09999999999999987,-0.04048886227627335,27.112638920657883,1.5690591786579913
2004-06,0.09956957445938719,5395.75,0.19999999999999996,0.3999999999999999,0.06207663920592488,27.112638920657883,2.0132645841647894
2004-07,0.06664614421176757,5022.199999999999,0.2999999999999998,0.30000000000000004,0.1628916326064953,20.085536923187668,1.3022028263400596
