datetime,open,high,low,close
1970-01-01,1.20282,1.20807,1.20233,1.2058200000000001
1970-01-02,1.2058,1.20658,1.20008,1.20141
1970-01-03,1.2014,1.20884,1.2004,1.20679
1970-01-04,1.20679,1.20825,1.20202,1.20289
1970-01-05,1.2028699999999999,1.20517,1.19555,1.19665
1970-01-06,1.19668,1.19751,1.19152,1.19361
1970-01-07,1.19362,1.20177,1.19229,1.1947
1970-01-08,1.19469,1.20585,1.19288,1.20318
1970-01-09,1.20318,1.22177,1.20305,1.21947
1970-01-10,1.21976,1.22961,1.21871,1.22635
1970-01-11,1.22633,1.2282899999999999,1.21948,1.22601
1970-01-12,1.226,1.23227,1.21769,1.21854
1970-01-13,1.21833,1.2264599999999999,1.21642,1.22381
1970-01-14,1.22376,1.2295,1.22144,1.22201
1970-01-15,1.22643,1.22667,1.22133,1.22611
1970-01-16,1.22613,1.23058,1.22226,1.22981
1970-01-17,1.22974,1.24145,1.22903,1.24075
1970-01-18,1.24075,1.25373,1.23635,1.23945
1970-01-19,1.23948,1.24931,1.23698,1.24237
1970-01-20,1.24238,1.24318,1.23364,1.23822
1970-01-21,1.2381,1.2453400000000001,1.23342,1.24021
1970-01-22,1.2402,1.24744,1.23862,1.24131
1970-01-23,1.24121,1.25227,1.23846,1.25084
1970-01-24,1.25076,1.25179,1.24088,1.24526
1970-01-25,1.24316,1.24746,1.23625,1.23661
1970-01-26,1.2366,1.24344,1.23138,1.23763
1970-01-27,1.23764,1.2406,1.22455,1.22633
1970-01-28,1.22632,1.22949,1.22121,1.22464
1970-01-29,1.22451,1.2287,1.22054,1.22499
1970-01-30,1.22438,1.22972,1.2235,1.22913
1970-01-31,1.22913,1.2371,1.22844,1.23511
1970-02-01,1.23498,1.24651,1.22757,1.24494
1970-02-02,1.2448299999999999,1.25102,1.24479,1.2505600000000001
1970-02-03,1.25057,1.2555399999999999,1.23928,1.24095
1970-02-04,1.24028,1.2435,1.2368999999999999,1.24068
1970-02-05,1.24063,1.24122,1.23197,1.23373
1970-02-06,1.23372,1.236,1.2281,1.2283
1970-02-07,1.22828,1.23521,1.22597,1.23304
1970-02-08,1.23306,1.23374,1.22798,1.22961
1970-02-09,1.22935,1.23549,1.22776,1.2316799999999999
1970-02-10,1.2316799999999999,1.23464,1.22215,1.22327
1970-02-11,1.22329,1.22416,1.2187999999999999,1.21933
1970-02-12,1.21935,1.22732,1.21548,1.2267000000000001
1970-02-13,1.2267000000000001,1.23358,1.22515,1.23217
1970-02-14,1.2333,1.2364600000000001,1.22688,1.23357
1970-02-15,1.23355,1.24203,1.2328000000000001,1.24038
1970-02-16,1.24037,1.24449,1.23847,1.24108
1970-02-17,1.24106,1.2446,1.22981,1.23111
1970-02-18,1.2311,1.2334100000000001,1.2273100000000001,1.23048
1970-02-19,1.23119,1.23456,1.22904,1.23344
1970-02-20,1.23344,1.24073,1.23144,1.23917
1970-02-21,1.23917,1.24126,1.23471,1.23676
1970-02-22,1.23674,1.23836,1.23001,1.2304599999999999
1970-02-23,1.2304599999999999,1.23361,1.22601,1.2288000000000001
1970-02-24,1.22872,1.23587,1.2258,1.23345
1970-02-25,1.23345,1.23546,1.22397,1.22435
1970-02-26,1.22435,1.23499,1.22418,1.23386
1970-02-27,1.23386,1.23884,1.2285,1.23049
1970-02-28,1.23057,1.23733,1.23057,1.23529
1970-03-01,1.23512,1.24616,1.23496,1.24437
1970-03-02,1.24432,1.24766,1.23721,1.24025
1970-03-03,1.24023,1.24217,1.23001,1.23082
1970-03-04,1.23085,1.23353,1.22839,1.23006
1970-03-05,1.23005,1.23307,1.229,1.23279
1970-03-06,1.23215,1.2345,1.22817,1.23015
1970-03-07,1.23009,1.23364,1.22536,1.22704
1970-03-08,1.22704,1.23148,1.22569,1.22776
1970-03-09,1.22775,1.22902,1.22183,1.22399
1970-03-10,1.22396,1.22908,1.2214800000000001,1.22805
1970-03-11,1.22808,1.23307,1.22601,1.23203
1970-03-12,1.23204,1.23776,1.23028,1.23556
1970-03-13,1.23554,1.23965,1.23469,1.23668
1970-03-14,1.23667,1.23798,1.22993,1.23263
1970-03-15,1.23262,1.23459,1.2307,1.23299
1970-03-16,1.23302,1.23946,1.2324,1.23791
1970-03-17,1.2379,1.24137,1.23361,1.23695
1970-03-18,1.23692,1.23972,1.23414,1.23735
1970-03-19,1.23736,1.24002,1.2328999999999999,1.23453
1970-03-20,1.23452,1.23531,1.22495,1.22895
1970-03-21,1.2276799999999999,1.22895,1.21975,1.22083
1970-03-22,1.22083,1.22448,1.2181899999999999,1.22319
1970-03-23,1.22319,1.22386,1.21599,1.21605
1970-03-24,1.21604,1.22098,1.20963,1.21031
1970-03-25,1.21028,1.21327,1.2055500000000001,1.21293
1970-03-26,1.21235,1.21388,1.20642,1.2077499999999999
1970-03-27,1.2077499999999999,1.20841,1.19813,1.19923
1970-03-28,1.19923,1.20317,1.19378,1.19503
1970-03-29,1.19503,1.20088,1.19449,1.1988
1970-03-30,1.1988,1.19954,1.19106,1.19632
1970-03-31,1.19565,1.19779,1.18975,1.19218
1970-04-01,1.19219,1.19388,1.18381,1.1864
1970-04-02,1.1864,1.1897,1.18228,1.1850100000000001
1970-04-03,1.1850100000000001,1.19465,1.18431,1.19144
1970-04-04,1.1914500000000001,1.19679,1.18912,1.19396
1970-04-05,1.19388,1.19961,1.19259,1.19266
1970-04-06,1.1926,1.19383,1.18201,1.18374
1970-04-07,1.18375,1.18543,1.17632,1.1807
1970-04-08,1.18067,1.18375,1.17763,1.17939
1970-04-09,1.1794,1.18221,1.17498,1.17694
1970-04-10,1.17704,1.17954,1.17166,1.17912
1970-04-11,1.17911,1.18298,1.17566,1.17783
1970-04-12,1.17783,1.17896,1.16758,1.16965
1970-04-13,1.16961,1.17506,1.1690800000000001,1.17193
1970-04-14,1.17192,1.1733500000000001,1.16454,1.16512
1970-04-15,1.16812,1.17283,1.16073,1.16242
1970-04-16,1.16241,1.16397,1.151,1.15394
1970-04-17,1.15394,1.16763,1.15186,1.16623
1970-04-18,1.16631,1.17241,1.1641,1.16917
1970-04-19,1.16916,1.17181,1.16168,1.16605
1970-04-20,1.16583,1.17446,1.1657899999999999,1.16981
1970-04-21,1.16983,1.17321,1.16525,1.17172
1970-04-22,1.17172,1.17957,1.17119,1.17734
1970-04-23,1.17733,1.18399,1.17726,1.1798899999999999
1970-04-24,1.1799,1.18103,1.17271,1.17707
1970-04-25,1.17736,1.1820599999999999,1.1771099999999999,1.17835
1970-04-26,1.1783299999999999,1.1809,1.17332,1.17446
1970-04-27,1.17447,1.18009,1.17252,1.17911
1970-04-28,1.1791,1.18517,1.15627,1.15679
1970-04-29,1.15678,1.1627,1.15432,1.16065
1970-04-30,1.15866,1.16243,1.15653,1.16224
